Métrica,Urbano,Semi-Urbano,Rural
Escenario,urbana,semi_urbana,rural
Descripción,Zona urbana densa - Centro Valparaíso,Zona semi-urbana - Viña del Mar,Zona rural - Quilpué
Radio de área (m),500,800,1200
Usuarios objetivo,100,60,30
Splitters instalados,7,4,1
Cobertura lograda (%),96.0,93.3,100.0
Fibra total (m),6805.8,13310.8,15831.5
Costo total,8205.78,14110.80,16031.49
Costo por usuario,82.06,235.18,534.38
Fibra por usuario (m),68.1,221.8,527.7
Usuarios/Splitter,14.3,15.0,30.0
Pérdida promedio (dB),18.60,18.78,18.90
Pérdida máxima (dB),18.76,19.03,19.31
Margen Power Budget (dB),11.24,10.97,10.69
Latencia promedio (µs),1.37,4.00,5.72
Iteraciones ILP,5,5,0
